epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.8606,1.57317,5.47275,0.01376,0.35573,0.32887,0.2855,0.1386,1.46182,3.72928,0.02164,0.000663492,0.000663492,0.000663492
2,76.4485,1.72573,3.30147,0.01615,0.38698,0.31099,0.2796,0.11955,1.82197,2.53047,0.02939,0.00131699,0.00131699,0.00131699
3,112.552,1.82888,2.62414,0.01839,0.39269,0.41466,0.35212,0.15129,1.85706,2.37424,0.03107,0.00195729,0.00195729,0.00195729
4,148.602,1.86804,2.37323,0.01873,0.44102,0.45666,0.41183,0.17959,1.8123,2.02267,0.02904,0.0019406,0.0019406,0.0019406
5,184.826,1.85606,2.2116,0.01821,0.48483,0.4513,0.45821,0.19557,1.80107,1.95479,0.02879,0.0019208,0.0019208,0.0019208
6,221.479,1.85678,2.10298,0.01803,0.55278,0.46291,0.50367,0.23765,1.68447,1.85428,0.02604,0.001901,0.001901,0.001901
7,260.139,1.79855,2.02617,0.01775,0.48969,0.50402,0.48921,0.21397,1.77804,1.87527,0.02684,0.0018812,0.0018812,0.0018812
8,295.931,1.82178,1.94312,0.01794,0.59312,0.5773,0.59365,0.28006,1.70831,1.59203,0.02577,0.0018614,0.0018614,0.0018614
9,331.723,1.81917,1.951,0.01747,0.53127,0.57937,0.55007,0.25812,1.6938,1.61692,0.02436,0.0018416,0.0018416,0.0018416
10,367.436,1.79325,1.86389,0.01734,0.56708,0.5916,0.57509,0.27371,1.69268,1.62218,0.02479,0.0018218,0.0018218,0.0018218
11,402.451,1.76806,1.78891,0.01693,0.65095,0.59786,0.64406,0.3257,1.64683,1.42379,0.02486,0.001802,0.001802,0.001802
12,437.558,1.75627,1.78122,0.01626,0.59789,0.58981,0.59449,0.30567,1.60765,1.57498,0.02333,0.0017822,0.0017822,0.0017822
13,472.617,1.74227,1.71985,0.01627,0.61188,0.62913,0.64334,0.32271,1.65763,1.45609,0.02515,0.0017624,0.0017624,0.0017624
14,507.615,1.75193,1.72322,0.01656,0.61777,0.62541,0.65832,0.3255,1.61862,1.42629,0.02294,0.0017426,0.0017426,0.0017426
15,544.129,1.72421,1.69147,0.01613,0.64392,0.6545,0.69085,0.37178,1.5499,1.32323,0.02255,0.0017228,0.0017228,0.0017228
16,581.136,1.7222,1.68054,0.01579,0.61232,0.5916,0.6211,0.30037,1.66316,1.53996,0.02414,0.001703,0.001703,0.001703
17,617.751,1.71411,1.63083,0.01596,0.64668,0.62824,0.66994,0.35967,1.59438,1.32018,0.02299,0.0016832,0.0016832,0.0016832
18,653.825,1.72246,1.61296,0.01564,0.68795,0.67292,0.69588,0.36403,1.61841,1.29381,0.02282,0.0016634,0.0016634,0.0016634
19,690.226,1.70282,1.59295,0.01565,0.61609,0.63181,0.64612,0.32836,1.59761,1.42164,0.02171,0.0016436,0.0016436,0.0016436
20,726.188,1.72265,1.57508,0.01537,0.65064,0.65594,0.6882,0.36822,1.60454,1.29031,0.02303,0.0016238,0.0016238,0.0016238
21,761.707,1.67833,1.54002,0.01507,0.68086,0.66041,0.69783,0.37722,1.5938,1.28201,0.02337,0.001604,0.001604,0.001604
22,797.268,1.66176,1.49349,0.01517,0.686,0.67828,0.72567,0.395,1.5382,1.23196,0.02123,0.0015842,0.0015842,0.0015842
23,832.818,1.67167,1.47922,0.01501,0.70531,0.66667,0.72093,0.40027,1.51005,1.20885,0.02087,0.0015644,0.0015644,0.0015644
24,868.678,1.66716,1.48197,0.01482,0.69737,0.70017,0.73916,0.39894,1.57785,1.18672,0.02215,0.0015446,0.0015446,0.0015446
25,905.992,1.66522,1.46121,0.01468,0.73268,0.69348,0.75025,0.41995,1.51917,1.15751,0.02016,0.0015248,0.0015248,0.0015248
26,942.967,1.63045,1.43158,0.01463,0.70664,0.67203,0.72635,0.39163,1.57461,1.19189,0.02089,0.001505,0.001505,0.001505
27,979.013,1.64358,1.44084,0.01444,0.71747,0.71487,0.75762,0.40759,1.5661,1.1148,0.02106,0.0014852,0.0014852,0.0014852
28,1015.24,1.63861,1.40185,0.01452,0.70764,0.67488,0.72652,0.38366,1.58489,1.19284,0.02095,0.0014654,0.0014654,0.0014654
29,1051.77,1.61547,1.39,0.01427,0.70226,0.70401,0.75156,0.40411,1.5572,1.16679,0.02096,0.0014456,0.0014456,0.0014456
30,1087.78,1.60455,1.36645,0.01421,0.73341,0.69794,0.76023,0.42522,1.53126,1.08694,0.02027,0.0014258,0.0014258,0.0014258
